regime,bin,feature,pooled_ic,mean_ts_ic,rows
breadth_12h,low,gk_vol_24h,-0.017763837254806732,-0.04999215104550729,29898
breadth_12h,low,residual_12h,-0.01856792912138558,-0.050878668674077046,29898
breadth_12h,low,rvol_12h,-0.017737943602535784,-0.051314129208968134,29898
breadth_12h,low,rvol_24h,-0.018708484778268506,-0.05202086154192974,29898
breadth_12h,low,residual_24h,-0.016514439076910636,-0.05432785808750806,29898
breadth_12h,low,atr_14,-0.019648404108005453,-0.05448448895241448,29898
breadth_12h,low,mom_z_24h,-0.019234945616438303,-0.06088800224326061,29898
breadth_12h,low,ret_168h,-0.016668235412806157,-0.0647199627912914,29898
breadth_12h,low,ret_48h,-0.02438118118958081,-0.07466802712290359,29898
breadth_12h,low,pct_coins_up_12h,,,29898
breadth_12h,low,pct_coins_up_1h,,,29898
breadth_12h,low,hour_sin,,,29898
breadth_12h,low,hour_cos,,,29898
breadth_12h,low,dow_sin,,,29898
breadth_12h,low,dow_cos,,,29898
breadth_12h,mid,dist_from_high_24h,0.02869356320222545,0.0815141889985196,29337
breadth_12h,mid,iv_rv_spread,0.018410737195991442,0.05568732230733671,29337
breadth_12h,mid,ls_divergence,0.0011607474588758667,0.00269542546994724,29337
breadth_12h,mid,oi_chg_24h,-0.0005202046310539584,-0.007010344847077469,29337
breadth_12h,mid,taker_cvd_12h,-0.0052598654601231885,-0.01990887312959512,29337
breadth_12h,mid,cum_funding_24h,-0.004949513545613593,-0.020239087028786816,29337
breadth_12h,mid,oi_zscore,-0.0032315382039237663,-0.021533206808376587,29337
breadth_12h,mid,ret_skew_168h,-0.011722762641841415,-0.022852206654044374,29337
breadth_12h,mid,taker_cvd_24h,-0.007274471349852277,-0.024797316347950033,29337
breadth_12h,mid,oi_chg_12h,-0.014104948964153914,-0.02948273875579616,29337
breadth_12h,mid,rel_volume_cs,-0.013674868491412445,-0.03117385630790033,29337
