window,horizon,feature,mean_ic,t_stat,n_weeks,abs_ic
W1,4,oi_chg_24h,-0.06791188033537292,-3.793602768890899,25,0.06791188033537292
W1,4,oi_zscore,-0.08841974473776162,-6.168251011101411,25,0.08841974473776162
W1,4,oi_ret_diverge,-0.02094529265890382,-2.3722856506857113,25,0.02094529265890382
W1,4,taker_imbalance,-0.02208025462299824,-3.182967884558071,25,0.02208025462299824
W1,4,taker_cvd_4h,-0.02886506039030552,-2.6471324357158776,25,0.02886506039030552
W1,4,taker_cvd_12h,-0.035637628875645026,-3.0785953300491578,25,0.035637628875645026
W1,4,taker_cvd_24h,-0.03166785690747683,-2.7894790727233407,25,0.03166785690747683
W1,4,taker_zscore,-0.019885512805821792,-2.7217139159384027,25,0.019885512805821792
W1,4,top_ls_ratio_zscore,-0.023689704795165613,-2.502690101786198,25,0.023689704795165613
W1,4,global_ls_ratio_zscore,0.01197033184276985,0.8128116360045469,25,0.01197033184276985
W1,4,ls_divergence,-0.02484684174268268,-5.090035174525419,25,0.02484684174268268
W1,4,premium_index,-0.04026124981825143,-3.0439947975573167,25,0.04026124981825143
W1,4,premium_zscore,-0.03282086090468636,-2.801511451180048,25,0.03282086090468636
W1,12,ret_1h,-0.04554876022223093,-4.980244352225686,25,0.04554876022223093
W1,12,ret_4h,-0.07565312408510234,-2.7366156566289113,25,0.07565312408510234
W1,12,ret_12h,-0.042591942506274044,-1.5468976466044906,25,0.042591942506274044
W1,12,ret_24h,-0.07825523890629253,-3.0894491014072267,25,0.07825523890629253
W1,12,ret_48h,-0.08489405876448823,-2.9020857395474784,25,0.08489405876448823
W1,12,ret_168h,-0.14834654189609509,-4.786751161193476,25,0.14834654189609509
W1,12,rvol_12h,0.0590120931919194,2.274205865509048,25,0.0590120931919194
W1,12,rvol_24h,0.04703180533621655,1.7427636630118617,25,0.04703180533621655
W1,12,rvol_168h,-0.012693930812558131,-0.6225827592114238,25,0.012693930812558131
W1,12,vol_ratio_12h,0.051172061581980365,1.5965066496402534,25,0.051172061581980365
W1,12,vol_ratio_24h,0.040151511108389014,1.2522190861645233,25,0.040151511108389014
W1,12,mom_z_12h,-0.037291432815791684,-1.347867363809173,25,0.037291432815791684
W1,12,mom_z_24h,-0.07311474011878899,-2.9423970344146317,25,0.07311474011878899
W1,12,range_24h,0.010818956229291046,0.7549936609358271,25,0.010818956229291046
W1,12,dist_from_high_24h,0.05561280883866876,1.9044461454017558,25,0.05561280883866876
W1,12,btc_ret_1h,-0.047407638653907354,-4.64907939568706,25,0.047407638653907354
W1,12,btc_ret_4h,-0.07123808806434971,-2.1556552876081665,25,0.07123808806434971
W1,12,btc_ret_12h,-0.046641074669783025,-1.3601529852994168,25,0.046641074669783025
W1,12,btc_ret_24h,-0.11411092586192584,-3.335682890657831,25,0.11411092586192584
W1,12,btc_beta_168h,0.04182753227493681,2.5549478648883284,25,0.04182753227493681
W1,12,residual_12h,-0.009316417699677722,-0.4589449666954046,25,0.009316417699677722
W1,12,residual_24h,0.007141189095319926,0.3028957970429417,25,0.007141189095319926
W1,12,funding_rate_binance,-0.07311349077621584,-4.794040970999114,25,0.07311349077621584
W1,12,cum_funding_24h,-0.07823573961455427,-3.641165497488149,25,0.07823573961455427
W1,12,cum_funding_72h,-0.07223376755157382,-4.181512289001333,25,0.07223376755157382
W1,12,cum_funding_168h,-0.05502109043253565,-3.179265702125943,25,0.05502109043253565
