window,feature,avg_gain,gain_pct,test_mean_ts_ic,test_pooled_ic,test_rows
W2,ret_24h,12228.22706451416,0.06840255359607955,-0.0386074176284333,-0.0083687552466404,85569
W2,gk_vol_24h,10311.594468688965,0.05768124762357431,-0.04054625821297137,-0.008853816280979827,85569
W2,iv_rv_spread,9945.060873031616,0.05563092309251673,0.04871074951655737,0.01188292658149405,85569
W2,ret_skew_168h,9516.843376922607,0.053235549660715045,-0.02732857147029181,-0.009636911529556818,85569
W2,ret_168h,7780.224210739136,0.04352120718374507,-0.04809115285854971,-0.011854215723712399,85569
W2,ls_divergence,7144.126330947876,0.03996298741196469,0.00014955740319846586,0.0018359899278391001,85569
W2,oi_zscore,6424.131813812256,0.03593546459222799,-0.019946286408783327,-0.004031359526889061,85569
W2,atr_14,5551.386410522461,0.031053480154966142,-0.04611998058066038,-0.010639565572547792,85569
W2,rel_volume_cs,4885.69556388855,0.02732972252640228,-0.025406231658872343,-0.009751810335324403,85569
W2,pct_coins_up_1h,4265.647740554809,0.023861283950314737,,,85569
W2,rvol_24h,4245.02781867981,0.02374593973044048,-0.04871074951655737,-0.01188292658149405,85569
W2,dist_from_high_24h,3805.5468631744384,0.02128756048586053,0.045373914183105796,0.014473914880895822,85569
W2,ret_48h,3760.8519634246827,0.021037545069931916,-0.07386517950987367,-0.02430657698472598,85569
W2,oi_chg_24h,3535.3891830444336,0.01977634589220027,-0.00746017001562518,-0.0001267206096589291,85569
W2,taker_cvd_24h,3315.9506965637206,0.01854884555602329,-0.019119810733269432,-0.006251421374414413,85569
W2,residual_12h,3211.5630672454836,0.017964919499405527,-0.05791001116667619,-0.017591656588738316,85569
W2,residual_24h,2192.3054172515867,0.012263371297520573,-0.042023318440770445,-0.010281963591585511,85569
W2,rvol_12h,1895.095360183716,0.010600830460601087,-0.05662553810586533,-0.013815048468919323,85569
W2,hour_sin,1614.9993991851807,0.009034022870002184,,,85569
W2,taker_cvd_12h,1541.7302013397216,0.008624167851271805,-0.019923182169857057,-0.006118412521587682,85569
W2,oi_chg_12h,1316.3046215057373,0.007363176766859516,-0.016084646146190262,-0.006712516504710413,85569
W2,ret_12h,1174.0860973358153,0.006567631331649287,-0.05396905598085803,-0.01552693800465575,85569
W2,hour_cos,253.25498046875,0.0014166638617023443,,,85569
W2,dow_sin,0.0,0.0,,,85569
W2,dow_cos,0.0,0.0,,,85569
W3,cum_funding_24h,31836.25412979126,0.1572823757673505,-0.0021475060258920415,-0.0031826515352341494,88947
W3,pct_coins_up_12h,27562.460101699828,0.1361683189584648,,,88947
W3,mom_z_24h,14724.394594573974,0.07274372651157478,-0.04589167516429051,-0.012815976092456167,88947
W3,ret_24h,13388.942987060547,0.06614612238717849,-0.06085302405254816,-0.018510861852979815,88947
W3,iv_rv_spread,12966.602738571168,0.0640596119141256,0.06444326197581433,0.030660873218217716,88947
W3,ret_skew_168h,11103.973276519775,0.0548575623962596,-0.01620072229304921,-0.010462048726800016,88947
W3,ret_168h,10174.612170028686,0.05026618923474468,0.0033075840861385964,0.0029805639341623073,88947
W3,ls_divergence,9071.834259796142,0.044818075616917315,-0.03629617407087532,-0.014754060958644453,88947
W3,gk_vol_24h,8283.245166015626,0.04092216607717163,-0.08024822368478936,-0.03703367988901232,88947
W3,oi_zscore,7437.053926849365,0.03674168152936656,-0.03058035243102568,-0.012755764007708227,88947
W3,atr_14,6487.498641204834,0.03205054196754035,-0.08049446091583884,-0.03744654341669289,88947
W3,rel_volume_cs,5626.2194549560545,0.027795517615117685,-0.04325965984811706,-0.0181043744557031,88947
W3,pct_coins_up_1h,5073.665502166748,0.025065705304911944,,,88947
W3,ret_48h,4932.612409591675,0.024368853049018577,-0.04231406005380115,-0.010749028831359527,88947
W3,oi_chg_24h,4543.961863708496,0.022448781643928783,-0.03441078103306579,-0.014620777352005553,88947
W3,taker_cvd_24h,4418.538581466675,0.02182914618910708,-0.022185084746998953,-0.0031491463389757813,88947
W3,dist_from_high_24h,4328.755451202393,0.021385585713234963,0.0469199951518409,0.014682203319566439,88947
W3,rvol_24h,4264.7553062438965,0.021069402320317905,-0.06444326197581433,-0.030660873218217716,88947
W3,residual_12h,3156.3251750946047,0.015593364728441214,-0.05824419064634966,-0.01960791885482184,88947
W3,residual_24h,2865.086010360718,0.014154540061471991,-0.05721265362469656,-0.01647138218458422,88947
W3,taker_cvd_12h,2161.094279098511,0.010676571467488535,-0.013258729637198508,0.0003035032979886247,88947
W3,rvol_12h,1889.167984008789,0.00933315921958519,-0.06500518612048523,-0.0302067717164862,88947
W3,oi_chg_12h,1861.6847469329834,0.009197382290445304,-0.02922473006269902,-0.012548214025094753,88947
W3,hour_sin,1802.300785446167,0.008904004479505442,,,88947
W3,ret_12h,1445.375859451294,0.007140668877829634,-0.06171976510473952,-0.020467160942953668,88947
W3,hour_cos,1008.2160816192627,0.004980944678901089,,,88947
W3,dow_sin,0.0,0.0,,,88947
W3,dow_cos,0.0,0.0,,,88947
